restaurant_name,zip_code,inspection_date,score,address,facility_id,process_description,serialid
Delta Tau Delta Fraternity,78705,2011-08-25,94,"2801 SAN JACINTO BLVD AUSTIN, TX 78705 (30.29020927200048, -97.7344594379997)",2800623,Routine Inspection,17447
Bucket's Deli & Sports Bar,78702,2012-04-30,91,"2020 E CESAR CHAVEZ ST AUSTIN, TX 78702 (30.256516373000466, -97.72277168399967)",10111403,Routine Inspection,17448
Backspin Bar & Grill,78749,2012-06-18,88,"5000 W SLAUGHTER LN AUSTIN, TX 78749 (30.200004640000486, -97.86406463799966)",10496468,Routine Inspection,17449
Stop-N-Express,78723,2011-07-14,96,"5301 MANOR RD AUSTIN, TX 78723 (30.30003513400044, -97.68589390799968)",10300378,Routine Inspection,17450
Maudie's North Lamar,78753,2011-12-13,82,"10205 N LAMAR BLVD AUSTIN, TX 78753 (30.37224503100049, -97.69181358699967)",2801690,Routine Inspection,17451
Q.P. Food Mart,78745,2011-04-19,88,"5625 WEST GATE BLVD AUSTIN, TX 78745 (30.219635044000484, -97.8067700099997)",2803796,Routine Inspection,17452
Nau's Enfield Drug,78703,2011-12-05,91,"1115 WEST LYNN ST AUSTIN, TX 78703 (30.280083755000476, -97.75915556099966)",2800353,Routine Inspection,17453
Aramark @ AMD,78735,2011-03-28,87,"7171 SOUTHWEST PKWY AUSTIN, TX 78735 (30.252304612000444, -97.86261965799969)",10122668,Routine Inspection,17454
Players Consessions,78744,2011-06-29,85,"5400 JIMMY CLAY DR AUSTIN, TX 78744 (30.188197261000482, -97.73253595599965)",2802051,Routine Inspection,17455
BC - HEB Food Store #404,78733,2011-06-29,85,"12400 W SH 71 BEE CAVE, TX 78733 (30.33068394300045, -97.86979886299969)",10260892,Routine Inspection,17456
Del Valle ISD- Concession Stand #1 (Home),78617,2011-09-09,100,"5201 ROSS RD AUSTIN, TX 78617 (30.17780525200044, -97.61592846699966)",10333612,Routine Inspection,17457
Town Lake Food Mart,78704,2012-09-13,96,"160 E RIVERSIDE DR AUSTIN, TX 78704 (30.255430269000442, -97.74517834399967)",2803676,Routine Inspection,17458
CoCo's Cafe,78705,2012-07-06,92,"1910 GUADALUPE ST AUSTIN, TX 78705 (30.282623128000466, -97.74207163799969)",2801586,Routine Inspection,17459
MN - Manor High School Cafeteria,78653,2011-11-29,97,"12700 GREGG MANOR RD MANOR, TX 78653 (30.353536128000485, -97.56090297799966)",2801408,Routine Inspection,17460
Ana's Mart,78701,2013-05-10,96,"800 BRAZOS ST Unit 200 AUSTIN, TX 78701 (30.269604099000446, -97.74080787299965)",10426778,Routine Inspection,17461
"Children's Courtyard, The",78758,2013-10-08,93,"11718 METRIC BLVD Bldg A AUSTIN, TX 78758 (30.397507303000452, -97.70506594599965)",2802515,Routine Inspection,17462
Caffe Medici,78705,2012-12-11,81,"2222 GUADALUPE ST AUSTIN, TX 78705 (30.285554542000455, -97.74179211699965)",2800910,Routine Inspection,17463
Austin Lone Star RV Resort,78744,2012-06-04,100,"7009 S IH 35 SVRD NB AUSTIN, TX 78744 (30.188402392000455, -97.7461486959997)",10115498,Routine Inspection,17464
Wink,78703,2013-12-18,82,"1014 N LAMAR BLVD AUSTIN, TX 78703 (30.275584182000443, -97.75204791999965)",2801627,Routine Inspection,17465
Los Pepes Mexican Food,78723,2013-04-17,83,"4700 LOYOLA LN Unit 115 AUSTIN, TX 78723 (30.30943105400047, -97.66653947099968)",10818868,Routine Inspection,17466
Pepe's Fruit Cup #3,78741,2013-09-09,87,"2015 E RIVERSIDE DR Bunit B AUSTIN, TX 78741 (30.240921252000476, -97.72773317499968)",10813148,Routine Inspection,17467
Whataburger #347,78757,2011-07-28,96,"2801 W ANDERSON LN AUSTIN, TX 78757 (30.35899504100047, -97.73693366899965)",2800287,Routine Inspection,17468
Best Western,78753,2012-01-28,100,"7928 GESSNER DR AUSTIN, TX 78753 (30.34364272500045, -97.70248037899967)",2800186,Routine Inspection,17469
7-Eleven Convenience Store #34253,78660,2014-01-10,90,"15010 FM 1825 RD AUSTIN, TX 78660 (30.442846501000474, -97.6654166509997)",10723015,Routine Inspection,17470
Fresh Healthy Cafe,78705,2013-08-14,86,"2222 RIO GRANDE ST Bunit 190 AUSTIN, TX 78705 (30.28667381000048, -97.74481236099967)",10815083,Routine Inspection,17471
Dobie Mall--Niki's Pizza,78705,2011-11-09,88,"2021 GUADALUPE ST AUSTIN, TX 78705 (30.283517358000438, -97.74191884899966)",2800570,Routine Inspection,17472
Baskin Robbins,78745,2013-12-16,97,"730 W STASSNEY LN Unit 150 AUSTIN, TX 78745 (30.208967067000458, -97.7823616979997)",10001578,Routine Inspection,17473
Wazoos,78748,2012-07-23,100,"8816 CULLEN LN AUSTIN, TX 78748 (30.170786441000473, -97.79029131999965)",10348011,Routine Inspection,17474
Shahi Food Market,78758,2012-01-25,75,"12410 N LAMAR BLVD AUSTIN, TX 78758 (30.406615413000452, -97.67847239699967)",2803821,Routine Inspection,17475
"Bread Basket, The",78702,2013-05-30,91,"1514 HOLLY ST AUSTIN, TX 78702 (30.25497664000045, -97.7304513959997)",2803741,Routine Inspection,17476
Gypsy Lounge,78702,2012-07-18,94,"1504 E 6TH ST AUSTIN, TX 78702 (30.26323671300048, -97.72700121099967)",10000508,Routine Inspection,17477
Mimi's Cafe #126,78758,2013-10-04,74,"10515 N MOPAC EXPY NB AUSTIN, TX 78758 (30.373952330000463, -97.7398995369997)",10005840,Routine Inspection,17478
Red Robin Restaurant,78753,2013-11-01,84,"13000 N IH 35 SVRD SB Bunit 105 AUSTIN, TX 78753 (30.371744244000467, -97.6805695279997)",10802811,Routine Inspection,17479
Popeyes Chicken & Biscuits,78723,2011-08-15,85,"5630 CAMERON RD AUSTIN, TX 78723 (30.31441386600045, -97.7032976219997)",10001423,Routine Inspection,17480
Don Dario's Mexican Restaurant & Cantina,78744,2011-07-14,83,"8801 S IH 35 SVRD NB AUSTIN, TX 78744 (30.188402392000455, -97.7461486959997)",10298433,Routine Inspection,17481
Zocalo Cafe- Taqueria Fresca,78703,2011-08-24,97,"1110 WEST LYNN ST AUSTIN, TX 78703 (30.27998781700046, -97.75929532099968)",10034278,Routine Inspection,17482
Village @ Marbridge,78652,2012-06-25,100,"2310 BLISS SPILLAR RD MANCHACA, TX 78652 (30.136764276000463, -97.8559644609997)",10208073,Routine Inspection,17483
La Quinta Inn #0186,78744,2013-08-26,83,"7625 E BEN WHITE BLVD EB AUSTIN, TX 78744 (30.211920930000474, -97.71204921299966)",10082646,Routine Inspection,17484
WL - HEB #29 (Cafe on the Run),78746,2012-02-07,95,"701 S CAPITAL OF TEXAS HWY NB WEST LAKE HILLS, TX 78746 (30.292149335000488, -97.8281592619997)",10111240,Routine Inspection,17485
Mr. Natural,78702,2012-12-31,84,"1901 E CESAR CHAVEZ ST AUSTIN, TX 78702 (30.257033960000456, -97.72447012699968)",2800486,Routine Inspection,17486
Flea Market #X,78754,2011-03-12,94,"9500 E US 290 HWY SVRD WB AUSTIN, TX 78754 (30.35125319900044, -97.65755837899968)",2800530,Routine Inspection,17487
"Schlotzsky's Stores, LLC",78753,2011-08-02,100,"500 CANYON RIDGE DR Bldg G AUSTIN, TX 78753 (30.403166412000473, -97.6721713389997)",10004379,Routine Inspection,17488
Lala's,78757,2011-09-22,94,"2207 JUSTIN LN AUSTIN, TX 78757 (30.344865035000453, -97.7363805499997)",10434862,Routine Inspection,17489
Torchy's Tacos,78726,2013-11-25,96,"11521 N FM 620 RD AUSTIN, TX 78726 (30.454948798000487, -97.82625117899966)",10652331,Routine Inspection,17490
Canyon Vista Middle School,78750,2013-04-22,95,"8455 SPICEWOOD SPRINGS RD AUSTIN, TX 78750 (30.427132939000444, -97.7846890619997)",2800352,Routine Inspection,17491
All Star Grocery,78745,2011-09-23,85,"4619 S CONGRESS AVE AUSTIN, TX 78745 (30.21558436300046, -97.76853489999968)",2803756,Routine Inspection,17492
